诺和锐,门冬胰岛素注射液
诺和锐30,门冬胰岛素30注射液
诺和灵R,人胰岛素注射液
诺和灵30R,精蛋白生物合成人胰岛素注射液（预混30R）
诺和灵50R,精蛋白生物合成人胰岛素注射液（预混50R）
诺和灵N,精蛋白人胰岛素注射液
诺和平,地特胰岛素注射液
诺和力,利拉鲁肽注射液
诺和龙,瑞格列奈片
秦苏,格列吡嗪缓释片
糖适平,格列喹酮片
亚莫利,格列美脲片
唐力,那格列奈片
唐林,依帕司他片
达美康,格列齐特缓释片
瑞易宁,格列吡嗪控释片
阿法迪三,阿法骨化醇软胶囊
格华止,盐酸二甲双胍片
捷诺维,磷酸西格列汀片
优泌乐50,精蛋白锌重组赖脯胰岛素混合注射液（50R）
来得时,甘精胰岛素注射液
百泌达,艾塞那肽注射液
利加隆,水飞蓟素片
立普妥,阿托伐他汀钙片
拜糖平,阿卡波糖片
拜唐苹,阿卡波糖片
拜阿司匹林,阿司匹林肠溶片
倍博特,缬沙坦氨氯地平片（I）
倍他乐克,酒石酸美托洛尔片
弥可保,甲钴胺片
代文,缬沙坦胶囊
络活喜,苯磺酸氨氯地平片
怡开,胰激肽原酶肠溶片
雅施达,培哚普利叔丁胺片
维固力,硫酸氨基葡萄糖胶囊
钙尔奇D,碳酸钙D3咀嚼片（II）
密钙息,鲑降钙素注射液
加斯清,枸橼酸莫沙必利片
保列治,非那雄胺片
安立泽,沙格列汀片
捷诺达,西格列汀二甲双胍片（I）（II）
可定,瑞舒伐他汀钙片
力平之,非诺贝特胶囊
波依定,非洛地平缓释片
氯沙坦,倍怡
安博维,厄贝沙坦片
皿治林,咪唑斯汀缓释片
维生素B,吉林福尔泰
诺邦,丹参酮IIA磺酸钠注射液
易善复,多烯磷脂酰胆碱胶囊
百赛诺,双环醇片
来士普,草酸艾司西酞普兰片
施慧达,苯磺酸左氨氯地平片
沐舒坦,盐酸氨溴索注射液
阿发骨化醇,阿法骨化醇片
安内真,苯磺酸氨氯地平片
杜密克,乳果糖口服溶液
优甲乐,左甲状腺素钠片
安比丁,双醋瑞因胶囊
拜糖苹,阿卡波糖片
拜阿司匹灵,阿司匹林肠溶片
博依姆多,单硝酸异山梨酯缓释片
卜可,盐酸二甲双胍缓释片
雷替斯,左甲状腺素钠片
钙尔奇,碳酸钙D3咀嚼片（II）
佳维乐,维格列汀片
导升明,羟苯磺酸钙胶囊
盖三淳,骨化三醇软胶囊
耐信,艾司奥美拉唑镁肠溶片
阿莫仙,阿莫西林胶囊
善存,多维元素片（29）
法能,阿法骨化醇软胶囊
美卡素,替米沙坦片
培菲康,双歧杆菌三联活菌胶囊
爱乐维,复合维生素片
富露施,吸入用乙酰半胱氨酸溶液
予益宝世灵,注射用头孢唑肟钠
特治星,注射用哌拉西林钠他唑巴坦钠
安信,注射用比阿培南
弥凝,醋酸去氨加压素片
为力苏,盐酸伊托必利片
波利特,雷贝拉唑钠肠溶片
拜复乐,盐酸莫西沙星氯化钠注射液
安达唐,达格列净片
益适纯,依折麦布片
依折麦布,欣络康
百塞诺,双环醇片
艾斯西肽普兰,百适可
博苏,富马酸比索洛尔片
长秀霖,重组甘精胰岛素注射液
安博诺,厄贝沙坦氢氯噻嗪片
欧唐宁,利格列汀片
拜新同,硝苯地平控释片
速力菲,琥珀酸亚铁缓释片
贝莱,盐酸氨溴索口服溶液
施惠达,苯磺酸左氨氯地平片
卡博平,阿卡波糖片
优泌乐,赖脯胰岛素注射液
盖三醇,骨化三醇软胶囊
骨化三淳,骨化三醇软胶囊
力蜚能,多糖铁复合物胶囊
舒可捷,硫糖铝口服混悬液
格列奇特,格列齐特缓释片
福善美,阿仑膦酸钠片
优泌林,精蛋白人胰岛素混合注射液（30R）
欧唐静,恩格列净片
压氏达,苯磺酸氨氯地平片
补达秀,氯化钾缓释片
美能,复方甘草酸苷片
赛心得安,盐酸普萘洛尔片
优思弗,熊去氧胆酸胶囊
伲福达,硝苯地平缓释片（II）
利西拉来,利司那肽注射液
宜合瑞,二甲双胍维格列汀片（II）
心得安,盐酸普萘洛尔片
赛治,甲巯咪唑片
敏使朗,甲磺酸倍他司汀片
西比灵,盐酸氟桂利嗪胶囊
万爽力,盐酸曲美他嗪片
友来特,枸橼酸氢钾钠颗粒
捷洛维,阿昔洛韦氯化钠注射液（II）
乐喜林,尼麦角林片
思考林,胞磷胆碱钠胶囊
泰嘉,硫酸氢氯吡格雷片
贺普丁,拉米夫定片
贺维力,阿德福韦酯片
罗盖全,骨化三醇胶丸
