诺和锐,门冬胰岛素注射液
诺和锐30,门冬胰岛素30注射液
诺和灵R,生物合成人胰岛素注射液
诺和灵30R,精蛋白生物合成人胰岛素注射液(预混30R)
诺和灵50R,精蛋白生物合成人胰岛素注射液(预混50R)
诺和灵N,精蛋白生物合成人胰岛素注射液
诺和平,地特胰岛素注射液
诺和力,利拉鲁肽
诺和龙,瑞格列奈
秦苏,格列吡嗪缓释片
糖适平,格列喹酮片
唐力,那格列奈
达美康,格列齐特
瑞易宁,格列吡嗪
阿法迪三,阿法骨化醇软胶囊
格华止,盐酸二甲双胍片
捷诺维,西格列汀片
优泌乐50,精蛋白锌重组赖脯胰岛素混和注射液(50R)
来得时,甘精胰岛素注射液
百泌达,艾塞那肽注射液
利加隆,水飞蓟素片
拜糖平,阿卡波糖片
拜唐苹,阿卡波糖片
拜阿司匹林,阿司匹林肠溶片
倍博特,缬沙坦氨氯地平片
倍他乐克,酒石酸美托洛尔注射液
弥可保,甲钴胺片
络活喜,苯磺酸氨氯地平片
怡开,胰激肽原酶肠溶片
门冬胰岛素,门冬胰岛素注射液
维固力,硫酸氨基葡萄糖胶囊
加斯清,枸橼酸莫沙必利片
保列治,非那雄胺片
安立泽,沙格列汀片
捷诺达,西格列汀二甲双胍片
可定,瑞舒伐他汀钙片
阿托伐他汀,立普妥
小苏打,碳酸氢钠
安博维,厄贝沙坦片
皿治林,咪唑斯汀缓释片
易善复,多烯磷脂酰胆碱胶囊
百赛诺,双环醇片
施慧达,苯磺酸左氨氯地平片
沐舒坦,盐酸氨溴索口服溶液/片/缓释胶囊
安内真,苯磺酸氨氯地平片
杜密克,乳果糖口服溶液
优甲乐,左甲状腺素钠片
拜糖苹,阿卡波糖
拜阿司匹灵,阿司匹林肠溶片
科素亚,氯沙坦钾片
卜可,盐酸二甲双胍缓释片
雷替斯,左甲状腺素钠片
佳维乐,维格列汀片
导升明,导升明羟苯磺酸钙胶囊
盖三淳,骨化三醇软胶囊
耐信,埃索美拉唑镁肠溶片
阿莫仙,阿莫西林
法能,阿法骨化醇软胶囊
金水宝,金水宝胶囊
特治星,注射用哌拉西林钠他唑巴坦钠
安信,注射用比阿培南
加斯清,枸橼酸莫沙必利片
为力苏,盐酸伊托必利片
波利特,雷贝拉唑钠片
拜复乐,盐酸莫西沙星片
益适纯,依折麦布片
依折麦布,依折麦布片
博苏,富马酸比索洛尔片
安博诺,厄贝沙坦氢氯噻嗪片
拜新同,硝苯地平控释片
贝莱,盐酸氨溴索片
卡博平,阿卡波糖片
优泌乐,赖脯胰岛素注射液
力蜚能,多糖铁复合物胶囊
福善美,阿仑膦酸钠片
洁维乐,磷酸铝凝胶
压氏达,苯磺酸氨氯地平片
利加隆,水飞蓟素片
美能,甘草酸一铵
优思弗,熊去氧胆酸胶囊
伲福达,硝苯地平缓释片(Ⅱ)
生理盐水,生理氯化钠溶液
心得安,普萘洛尔
赛治,甲巯咪唑片
敏使朗,甲磺酸倍他司汀片
西比灵,盐酸氟桂利嗪胶囊
友来特,枸橼酸氢钾钠颗粒
思考林,胞磷胆碱钠胶囊
贺维力,阿德福韦酯片
罗盖全,骨化三醇胶丸
